city,date,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,windSpeed_mean,windSpeed_max
dallas,2018-08-07,18393.205,12803.43,23982.98,36786.41,7905.1356156140655,87.62,79.61,95.63,11.327850634608494,54.0,35.0,73.0,7.285,8.45
dallas,2018-08-08,16282.315714285714,12803.43,21721.27,113976.21,4364.099493667457,87.75285714285714,81.04,97.52,6.742632310618048,53.285714285714285,33.0,72.0,8.611428571428572,9.59
dallas,2018-08-09,13696.285,13290.8,14101.77,27392.57,573.4423863388553,91.51,91.15,91.87,0.5091168824543134,46.5,46.0,47.0,8.33,11.33
dallas,2018-08-10,12803.43,12803.43,12803.43,25606.86,0.0,86.32,77.29,95.35,12.770348468229045,59.0,38.0,80.0,4.745,6.1
dallas,2018-08-11,13008.033333333333,12231.97,13410.51,39024.1,672.245774277038,77.31,76.42,78.44,1.0311643903859369,81.66666666666667,78.0,84.0,4.87,7.32
dallas,2018-08-12,12803.43,12803.43,12803.43,12803.43,,73.01,73.01,73.01,,95.0,95.0,95.0,3.85,3.85
dallas,2018-08-14,15587.7575,12356.34,18665.63,62351.03,3478.4542850273315,78.77,75.07,85.16,4.533262254344732,78.5,62.0,88.0,7.745000000000001,10.46
dallas,2018-08-16,14477.6125,12803.43,17914.36,57910.45,2410.0358871238827,87.86500000000001,83.2,93.68,4.762614828012029,53.25,42.0,67.0,7.53,8.29
dallas,2018-08-17,12803.43,12803.43,12803.43,25606.86,0.0,84.325,83.81,84.84,0.7283199846221448,60.0,59.0,61.0,8.92,9.03
dallas,2018-08-18,21247.260000000002,20562.49,21932.03,42494.520000000004,968.4110211062236,84.25,83.25,85.25,1.4142135623730951,59.0,56.00000000000001,62.0,6.745,7.37
dallas,2018-08-20,16268.0775,12803.43,20480.52,65072.31,4046.954571900331,83.11,81.6,85.82,1.875188879375442,64.25,60.0,67.0,5.695,9.79
dallas,2018-08-21,12916.655,12803.43,13256.33,51666.62,226.44999999999968,83.4625,78.57,88.81,4.260667983622605,51.5,41.0,62.0,3.7625,4.82
dallas,2018-08-22,14498.585,12803.43,16193.74,28997.17,2397.3111913245643,79.64,79.64,79.64,0.0,56.99999999999999,56.99999999999999,56.99999999999999,2.84,2.84
dallas,2018-08-23,15939.92,12803.43,22212.9,47819.76,5432.560037431708,79.37333333333333,78.73,80.66,1.1142860195359756,64.0,57.99999999999999,67.0,5.973333333333333,6.81
dallas,2018-08-24,14265.32,14265.32,14265.32,14265.32,,95.87,95.87,95.87,,42.0,42.0,42.0,7.62,7.62
dallas,2018-08-25,20394.32,20394.32,20394.32,20394.32,,87.35,87.35,87.35,,55.00000000000001,55.00000000000001,55.00000000000001,10.16,10.16
dallas,2018-08-26,12803.43,12803.43,12803.43,25606.86,0.0,92.575,89.61,95.54,4.193143212436231,44.5,38.0,51.0,10.27,10.51
dallas,2018-08-27,12803.43,12803.43,12803.43,25606.86,0.0,91.0,89.97,92.03,1.4566399692442895,44.0,43.0,45.0,6.515000000000001,7.33
dallas,2018-08-29,12803.43,12803.43,12803.43,12803.43,,96.49,96.49,96.49,,36.0,36.0,36.0,13.35,13.35
dallas,2018-08-30,15693.36,12803.43,21473.22,47080.08,5005.505590317526,84.94333333333334,78.23,97.31,10.722953573215415,60.333333333333336,37.0,73.0,5.786666666666666,6.88
dallas,2018-09-01,17142.045,12803.43,21480.66,34284.09,6135.728174915344,82.67500000000001,78.59,86.76,5.7770624022940895,62.5,51.0,74.0,5.74,7.81
dallas,2018-09-02,12582.576000000001,12202.79,12803.43,62912.880000000005,304.35552398469804,87.05199999999999,83.83,92.18,3.2270528350183554,53.8,44.0,68.0,8.012,11.15
dallas,2018-09-03,15906.72,15906.72,15906.72,15906.72,,75.79,75.79,75.79,,86.0,86.0,86.0,5.96,5.96
dallas,2018-09-04,14800.756666666668,12389.12,19209.72,44402.270000000004,3823.889570847115,78.01666666666667,75.59,79.37,2.106213031327396,85.0,84.0,87.0,8.946666666666667,11.46
dallas,2018-09-05,14335.840000000002,12803.43,17400.66,43007.520000000004,2654.211978026623,80.87666666666667,78.55,84.4,3.103165050933211,77.0,67.0,83.0,1.7533333333333332,2.29
